"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"57","No, law does not do this","Somewhat important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Indep lean Dem","$100,000 or more","Liberal","Widowed"
"58",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","65+","Indep lean Dem","$50,000 to less than $75,000","Moderate","Never been married"
"59",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Democrat","$100,000 or more","Liberal","Married"
"60","No, law does not do this","Very important","Very important","Oppose","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","45-54","Democrat","$50,000 to less than $75,000","Conservative","Married"
"61","No, law does not do this","Not at all important","Very important","Oppose","The insurance company (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Oppose",NA,"High school graduate (Grade 12 with diploma or GED certificate)","55-64","Democrat","Less than $20,000","Conservative","Separated"
"62",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","Some college, no degree (includes some community college)","65+","Democrat","$20,000 to less than $30,000","Moderate","Widowed"
"63","No, law does not do this","Not at all important","Very important","Oppose","The government (or)","Very important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"Support","Still support","Some college, no degree (includes some community college)","65+","Democrat","Less than $20,000","Moderate","Widowed"
"64",NA,"Very important","Very important","Support","The government (or)","Very important","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","18-24","Democrat","$20,000 to less than $30,000","Conservative","Never been married"
"65",NA,"Very important","Very important","Oppose","The woman herself (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Now want to stop all payments to Planned Parenthood","Support","Now oppose","Two year associate degree from a college or university","65+","Democrat","Less than $20,000","Moderate","Divorced"
"66","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school graduate (Grade 12 with diploma or GED certificate)","65+","Indep lean Dem","$40,000 to less than $50,000","Moderate","Married"
"67","Yes, the law does this","Not at all important","Very important","Oppose","The woman herself (or)","Should not be done","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Now oppose","Some college, no degree (includes some community college)","65+","Republican","$100,000 or more","Conservative","Married"
"68",NA,"Somewhat important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","(DO NOT READ) Don't know",NA,"Two year associate degree from a college or university","65+","Democrat","$75,000 to less than $90,000","Conservative","Married"
"69",NA,"Very important","Very important","(DO NOT READ) Refused","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","(DO NOT READ) Don't know","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","65+","Indep lean Dem","(DO NOT READ) Don't know/Refused","Moderate","Widowed"
